Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.31,-6.480416986827818
75% Corpus,7,symmetric,0.61,-5.01340915994722
75% Corpus,7,symmetric,0.9099999999999999,-8.996142867993624
75% Corpus,7,symmetric,symmetric,-3.468297870127511
75% Corpus,7,asymmetric,0.01,-2.0249238585415883
75% Corpus,7,asymmetric,0.31,-6.710626692625473
75% Corpus,7,asymmetric,0.61,-4.925433149141633
75% Corpus,7,asymmetric,0.9099999999999999,-10.125476668657756
75% Corpus,7,asymmetric,symmetric,-4.84994296001289
75% Corpus,8,0.01,0.01,-1.7323284666684904
75% Corpus,8,0.01,0.31,-5.4332235797918305
75% Corpus,8,0.01,0.61,-5.524995312246718
75% Corpus,8,0.01,0.9099999999999999,-3.853188037219395
75% Corpus,8,0.01,symmetric,-2.910597684734434
75% Corpus,8,0.31,0.01,-1.6819864592814011
75% Corpus,8,0.31,0.31,-6.0209219489566745
75% Corpus,8,0.31,0.61,-5.398097222963981
75% Corpus,8,0.31,0.9099999999999999,-6.326454924972195
75% Corpus,8,0.31,symmetric,-2.65811777426748
75% Corpus,8,0.61,0.01,-1.536296048136547
75% Corpus,8,0.61,0.31,-5.96964830293616
75% Corpus,8,0.61,0.61,-4.4533864330918345
75% Corpus,8,0.61,0.9099999999999999,-7.35620855485797
75% Corpus,8,0.61,symmetric,-3.021502424514107
75% Corpus,8,0.9099999999999999,0.01,-1.4741893239169719
75% Corpus,8,0.9099999999999999,0.31,-4.9378166511179655
75% Corpus,8,0.9099999999999999,0.61,-5.825956789076364
75% Corpus,8,0.9099999999999999,0.9099999999999999,-5.944396713706579
75% Corpus,8,0.9099999999999999,symmetric,-2.4314361360942636
75% Corpus,8,symmetric,0.01,-1.7616467817565449
75% Corpus,8,symmetric,0.31,-5.613071635772021
75% Corpus,8,symmetric,0.61,-4.682280370643174
75% Corpus,8,symmetric,0.9099999999999999,-6.357049425718378
75% Corpus,8,symmetric,symmetric,-3.133854050382958
75% Corpus,8,asymmetric,0.01,-2.1197489176263957
75% Corpus,8,asymmetric,0.31,-7.618807257639215
75% Corpus,8,asymmetric,0.61,-5.509717928269447
75% Corpus,8,asymmetric,0.9099999999999999,-9.091066582590155
75% Corpus,8,asymmetric,symmetric,-4.574468159022597
75% Corpus,9,0.01,0.01,-1.7659285594741698
75% Corpus,9,0.01,0.31,-5.007299637579662
75% Corpus,9,0.01,0.61,-5.017637996514697
75% Corpus,9,0.01,0.9099999999999999,-7.025234139125416
